epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,7686.49,1.21241,0.75323,0.02339,0.87949,0.83752,0.91469,0.5552,1.45309,0.79922,0.04195,0.000676802,0.000676802,0.000676802
62,7812.81,1.1701,0.70402,0.02274,0.877,0.86038,0.913,0.54956,1.47522,0.8404,0.04273,0.000660299,0.000660299,0.000660299
63,7938.6,1.17762,0.68368,0.0224,0.88614,0.83359,0.90558,0.54019,1.4538,0.82779,0.04206,0.000643795,0.000643795,0.000643795
64,8064.72,1.15794,0.67191,0.022,0.85866,0.8364,0.89394,0.53932,1.45241,0.88396,0.04211,0.000627292,0.000627292,0.000627292
65,8191.44,1.17825,0.6889,0.02232,0.87188,0.85258,0.91422,0.55458,1.46134,0.78027,0.04241,0.000610789,0.000610789,0.000610789
66,8317.97,1.16786,0.67926,0.02202,0.86483,0.86691,0.9138,0.55916,1.44592,0.78755,0.042,0.000594286,0.000594286,0.000594286
67,8444.4,1.13652,0.66495,0.02177,0.86607,0.84866,0.91517,0.55623,1.45049,0.79396,0.04225,0.000577782,0.000577782,0.000577782
68,8570.35,1.1355,0.68937,0.02152,0.86912,0.85427,0.91632,0.56013,1.43667,0.80243,0.04136,0.000561279,0.000561279,0.000561279
69,8696.69,1.13116,0.63639,0.02166,0.86917,0.8634,0.91635,0.56447,1.42461,0.80353,0.04099,0.000544776,0.000544776,0.000544776
70,8822.85,1.13147,0.64111,0.02146,0.87944,0.85803,0.91224,0.55707,1.4499,0.81255,0.04223,0.000528272,0.000528272,0.000528272
71,8948.51,1.11323,0.63076,0.021,0.86544,0.84935,0.90671,0.55103,1.46857,0.83999,0.0422,0.000511769,0.000511769,0.000511769
72,9074.42,1.11529,0.64843,0.02111,0.83427,0.87373,0.90649,0.55141,1.43424,0.77816,0.04104,0.000495266,0.000495266,0.000495266
73,9201.23,1.11025,0.66067,0.02084,0.88087,0.83657,0.9064,0.55285,1.43018,0.81265,0.04152,0.000478762,0.000478762,0.000478762
74,9327.47,1.09106,0.63824,0.02068,0.86328,0.86153,0.91357,0.55605,1.42995,0.81753,0.04135,0.000462259,0.000462259,0.000462259
75,9453.58,1.07693,0.61435,0.0202,0.86741,0.86423,0.91106,0.55519,1.41623,0.81498,0.0412,0.000445756,0.000445756,0.000445756
76,9579.9,1.07964,0.61964,0.02041,0.88168,0.85881,0.91623,0.56359,1.41069,0.80443,0.04069,0.000429253,0.000429253,0.000429253
77,9705.69,1.08055,0.58832,0.0204,0.86474,0.85809,0.91212,0.56061,1.43232,0.79352,0.0412,0.000412749,0.000412749,0.000412749
78,9831.56,1.0776,0.58868,0.02032,0.8754,0.86356,0.92074,0.57048,1.41229,0.78859,0.04069,0.000396246,0.000396246,0.000396246
79,9957.25,1.06471,0.60312,0.02008,0.86891,0.87549,0.9193,0.56927,1.41393,0.79875,0.04068,0.000379743,0.000379743,0.000379743
80,10083.4,1.06665,0.59191,0.02029,0.8774,0.85722,0.91878,0.55993,1.44711,0.81339,0.04149,0.000363239,0.000363239,0.000363239
81,10209.3,1.04529,0.5704,0.02009,0.8677,0.87722,0.92249,0.57387,1.42205,0.80911,0.04095,0.000346736,0.000346736,0.000346736
82,10335.2,1.03857,0.5616,0.0196,0.86877,0.87701,0.92033,0.56784,1.43284,0.78598,0.04131,0.000330233,0.000330233,0.000330233
